"job_id","remote_jobs","salary_year_avg","company_name","job_via","job_schedule_type","job_posted_date"
226942,"Data Analyst","650000.0","Mantys","via Y Combinator","Full-time","2023-02-20 15:13:33"
547382,"Data Analyst","336500.0","Meta","via LinkedIn","Full-time","2023-08-23 12:04:42"
552322,"Data Analyst","255829.5","AT&T","via ZipRecruiter","Full-time","2023-06-18 16:03:12"
99305,"Data Analyst","232423.0","Pinterest Job Advertisements","via Indeed","Full-time","2023-12-05 20:00:40"
1021647,"Data Analyst","217000.0","Uclahealthcareers","via Recruit.net","Full-time","2023-01-17 00:17:23"
168310,"Data Analyst","205000.0","SmartAsset","via Built In NYC","Full-time","2023-08-09 11:00:01"
731368,"Data Analyst","189309.0","Inclusively","via Indeed","Full-time","2023-12-07 15:00:13"
310660,"Data Analyst","189000.0","Motional","via LinkedIn","Full-time","2023-01-05 00:00:25"
1749593,"Data Analyst","186000.0","SmartAsset","via Indeed","Full-time","2023-07-11 16:00:05"
387860,"Data Analyst","184000.0","Get It Recruit - Information Technology","via Get.It","Full-time","2023-06-09 08:01:04"
