"remote_jobs","salary_year_avg","company_name","skills"
"Data Analyst","255829.5","AT&T","sql"
"Data Analyst","255829.5","AT&T","powerpoint"
"Data Analyst","255829.5","AT&T","power bi"
"Data Analyst","255829.5","AT&T","tableau"
"Data Analyst","255829.5","AT&T","excel"
"Data Analyst","255829.5","AT&T","jupyter"
"Data Analyst","255829.5","AT&T","pyspark"
"Data Analyst","255829.5","AT&T","pandas"
"Data Analyst","255829.5","AT&T","aws"
"Data Analyst","255829.5","AT&T","databricks"
"Data Analyst","255829.5","AT&T","azure"
"Data Analyst","255829.5","AT&T","r"
"Data Analyst","255829.5","AT&T","python"
"Data Analyst","232423.0","Pinterest Job Advertisements","tableau"
"Data Analyst","232423.0","Pinterest Job Advertisements","sql"
"Data Analyst","232423.0","Pinterest Job Advertisements","python"
"Data Analyst","232423.0","Pinterest Job Advertisements","r"
"Data Analyst","232423.0","Pinterest Job Advertisements","hadoop"
"Data Analyst","217000.0","Uclahealthcareers","crystal"
"Data Analyst","217000.0","Uclahealthcareers","oracle"
"Data Analyst","217000.0","Uclahealthcareers","tableau"
"Data Analyst","217000.0","Uclahealthcareers","flow"
"Data Analyst","217000.0","Uclahealthcareers","sql"
"Data Analyst","205000.0","SmartAsset","excel"
"Data Analyst","205000.0","SmartAsset","tableau"
"Data Analyst","205000.0","SmartAsset","python"
"Data Analyst","205000.0","SmartAsset","go"
"Data Analyst","205000.0","SmartAsset","snowflake"
"Data Analyst","205000.0","SmartAsset","pandas"
"Data Analyst","205000.0","SmartAsset","sql"
"Data Analyst","205000.0","SmartAsset","numpy"
"Data Analyst","205000.0","SmartAsset","gitlab"
"Data Analyst","189309.0","Inclusively","oracle"
"Data Analyst","189309.0","Inclusively","snowflake"
"Data Analyst","189309.0","Inclusively","tableau"
"Data Analyst","189309.0","Inclusively","sql"
"Data Analyst","189309.0","Inclusively","python"
"Data Analyst","189309.0","Inclusively","azure"
"Data Analyst","189309.0","Inclusively","power bi"
"Data Analyst","189309.0","Inclusively","sap"
"Data Analyst","189309.0","Inclusively","confluence"
"Data Analyst","189309.0","Inclusively","jenkins"
"Data Analyst","189309.0","Inclusively","bitbucket"
"Data Analyst","189309.0","Inclusively","atlassian"
"Data Analyst","189309.0","Inclusively","jira"
"Data Analyst","189309.0","Inclusively","aws"
"Data Analyst","189000.0","Motional","bitbucket"
"Data Analyst","189000.0","Motional","atlassian"
"Data Analyst","189000.0","Motional","sql"
"Data Analyst","189000.0","Motional","python"
"Data Analyst","189000.0","Motional","r"
"Data Analyst","189000.0","Motional","jira"
"Data Analyst","189000.0","Motional","confluence"
"Data Analyst","189000.0","Motional","git"
"Data Analyst","186000.0","SmartAsset","numpy"
"Data Analyst","186000.0","SmartAsset","sql"
"Data Analyst","186000.0","SmartAsset","python"
"Data Analyst","186000.0","SmartAsset","go"
"Data Analyst","186000.0","SmartAsset","snowflake"
"Data Analyst","186000.0","SmartAsset","pandas"
"Data Analyst","186000.0","SmartAsset","excel"
"Data Analyst","186000.0","SmartAsset","tableau"
"Data Analyst","186000.0","SmartAsset","gitlab"
"Data Analyst","184000.0","Get It Recruit - Information Technology","sql"
"Data Analyst","184000.0","Get It Recruit - Information Technology","python"
"Data Analyst","184000.0","Get It Recruit - Information Technology","r"
"Data Analyst","170000.0","Kelly Science, Engineering, Technology & Telecom","sql"
"Data Analyst","170000.0","A-Line Staffing Solutions","azure"
"Data Analyst","170000.0","Kelly Science, Engineering, Technology & Telecom","databricks"
"Data Analyst","170000.0","Kelly Science, Engineering, Technology & Telecom","azure"
"Data Analyst","170000.0","A-Line Staffing Solutions","python"
"Data Analyst","170000.0","Kelly Science, Engineering, Technology & Telecom","python"
"Data Analyst","170000.0","Robert Half","java"
"Data Analyst","170000.0","Robert Half","go"
"Data Analyst","170000.0","Robert Half","excel"
"Data Analyst","170000.0","A-Line Staffing Solutions","sql"
"Data Analyst","170000.0","Kelly Science, Engineering, Technology & Telecom","power bi"
"Data Analyst","167000.0","Uber","swift"
"Data Analyst","167000.0","Uber","looker"
"Data Analyst","167000.0","Uber","r"
"Data Analyst","167000.0","Uber","python"
"Data Analyst","167000.0","Uber","excel"
"Data Analyst","167000.0","Uber","sql"
"Data Analyst","167000.0","Uber","tableau"
"Data Analyst","165000.0","Get It Recruit - Information Technology","sas"
"Data Analyst","165000.0","Get It Recruit - Information Technology","pandas"
"Data Analyst","165000.0","Get It Recruit - Information Technology","tableau"
"Data Analyst","165000.0","Get It Recruit - Information Technology","looker"
"Data Analyst","165000.0","Get It Recruit - Information Technology","sas"
"Data Analyst","165000.0","Plexus Resource Solutions","aws"
"Data Analyst","165000.0","Plexus Resource Solutions","python"
"Data Analyst","165000.0","Plexus Resource Solutions","mysql"
"Data Analyst","165000.0","Get It Recruit - Information Technology","sql"
"Data Analyst","165000.0","Get It Recruit - Information Technology","python"
"Data Analyst","165000.0","Get It Recruit - Information Technology","r"
"Data Analyst","165000.0","Get It Recruit - Information Technology","matlab"
"Data Analyst","163500.0","CEDARS-SINAI","go"
"Data Analyst","163500.0","CEDARS-SINAI","sas"
"Data Analyst","163500.0","CEDARS-SINAI","tableau"
"Data Analyst","163500.0","CEDARS-SINAI","crystal"
"Data Analyst","163500.0","CEDARS-SINAI","sas"
"Data Analyst","160515.0","DIRECTV","snowflake"
"Data Analyst","160515.0","DIRECTV","redshift"
"Data Analyst","160515.0","DIRECTV","watson"
"Data Analyst","160515.0","DIRECTV","pyspark"
"Data Analyst","160515.0","DIRECTV","airflow"
"Data Analyst","160515.0","DIRECTV","linux"
"Data Analyst","160515.0","DIRECTV","tableau"
"Data Analyst","160515.0","DIRECTV","ssis"
"Data Analyst","160515.0","DIRECTV","cognos"
"Data Analyst","160515.0","DIRECTV","visio"
"Data Analyst","160515.0","DIRECTV","scala"
"Data Analyst","160515.0","DIRECTV","python"
"Data Analyst","160515.0","DIRECTV","sql"
"Data Analyst","160515.0","DIRECTV","aws"
"Data Analyst","160515.0","DIRECTV","databricks"
"Data Analyst","160515.0","DIRECTV","azure"
"Data Analyst","160515.0","DIRECTV","couchbase"
"Data Analyst","160515.0","DIRECTV","postgresql"
"Data Analyst","160515.0","DIRECTV","mysql"
"Data Analyst","160515.0","DIRECTV","r"
"Data Analyst","160515.0","DIRECTV","oracle"
"Data Analyst","160000.0","Get It Recruit - Information Technology","azure"
"Data Analyst","160000.0","Get It Recruit - Information Technology","power bi"
"Data Analyst","160000.0","Get It Recruit - Information Technology","sas"
"Data Analyst","160000.0","Get It Recruit - Information Technology","ssrs"
"Data Analyst","160000.0","Robert Half","java"
"Data Analyst","160000.0","Get It Recruit - Information Technology","sql server"
"Data Analyst","160000.0","Get It Recruit - Information Technology","r"
"Data Analyst","160000.0","Get It Recruit - Information Technology","sas"
"Data Analyst","160000.0","Robert Half","sql"
"Data Analyst","160000.0","Realtime Recruitment","snowflake"
"Data Analyst","160000.0","Realtime Recruitment","power bi"
"Data Analyst","160000.0","Realtime Recruitment","looker"
"Data Analyst","160000.0","Get It Recruit - Information Technology","sql"
"Data Analyst","160000.0","Get It Recruit - Information Technology","python"
"Data Analyst","157500.0","Uber","spark"
"Data Analyst","157500.0","Uber","r"
"Data Analyst","157500.0","Uber","sql"
"Data Analyst","157500.0","Uber","python"
"Data Analyst","157500.0","Edgewater Federal Solutions, Inc.","sql"
"Data Analyst","157500.0","Edgewater Federal Solutions, Inc.","go"
"Data Analyst","157500.0","Edgewater Federal Solutions, Inc.","oracle"
"Data Analyst","155485.5","CaptivateIQ","looker"
"Data Analyst","155485.5","CaptivateIQ","sql"
"Data Analyst","155485.5","CaptivateIQ","python"
"Data Analyst","155485.5","CaptivateIQ","r"
"Data Analyst","155485.5","CaptivateIQ","tableau"
"Data Analyst","155485.5","CaptivateIQ","datarobot"
"Data Analyst","155000.0","Motion Recruitment","airflow"
"Data Analyst","155000.0","Motion Recruitment","hadoop"
"Data Analyst","155000.0","Motion Recruitment","sql"
"Data Analyst","155000.0","Motion Recruitment","redshift"
"Data Analyst","155000.0","Motion Recruitment","c++"
"Data Analyst","155000.0","Motion Recruitment","java"
"Data Analyst","155000.0","Motion Recruitment","scala"
"Data Analyst","155000.0","Motion Recruitment","python"
"Data Analyst","155000.0","Motion Recruitment","tableau"
"Data Analyst","155000.0","Motion Recruitment","snowflake"
"Data Analyst","155000.0","Motion Recruitment","spark"
"Data Analyst","152625.0","Zscaler","looker"
"Data Analyst","152625.0","Zscaler","tableau"
"Data Analyst","152625.0","Zscaler","excel"
"Data Analyst","152625.0","Zscaler","hadoop"
"Data Analyst","152625.0","Zscaler","sql"
"Data Analyst","152625.0","Zscaler","looker"
"Data Analyst","152625.0","Zscaler","tableau"
"Data Analyst","152625.0","Zscaler","hadoop"
"Data Analyst","152625.0","Zscaler","excel"
"Data Analyst","152625.0","Zscaler","sql"
"Data Analyst","152500.0","Rocket Money","looker"
"Data Analyst","152500.0","Rocket Money","sql"
"Data Analyst","152221.5","US Patent and Trademark Office","sql"
"Data Analyst","152221.5","US Patent and Trademark Office","r"
"Data Analyst","152221.5","US Patent and Trademark Office","tableau"
"Data Analyst","152221.5","US Patent and Trademark Office","alteryx"
"Data Analyst","152221.5","US Patent and Trademark Office","databricks"
"Data Analyst","152221.5","US Patent and Trademark Office","go"
"Data Analyst","151500.0","Get It Recruit - Healthcare","sql"
"Data Analyst","151500.0","Get It Recruit - Healthcare","r"
"Data Analyst","151500.0","Get It Recruit - Healthcare","python"
"Data Analyst","150000.0","Patterned Learning AI","oracle"
"Data Analyst","150000.0","Patterned Learning AI","hadoop"
"Data Analyst","150000.0","Patterned Learning AI","excel"
"Data Analyst","150000.0","Patterned Learning AI","sheets"
"Data Analyst","150000.0","Patterned Learning AI","tableau"
"Data Analyst","150000.0","Patterned Learning AI","sql"
"Data Analyst","150000.0","Patterned Learning AI","nosql"
"Data Analyst","150000.0","Patterned Learning AI","excel"
"Data Analyst","150000.0","Patterned Learning AI","sql"
"Data Analyst","150000.0","Patterned Learning AI","vba"
"Data Analyst","150000.0","Patterned Learning AI","tableau"
"Data Analyst","148238.5","Edward Jones","sas"
"Data Analyst","148238.5","Edward Jones","tableau"
"Data Analyst","148238.5","Edward Jones","sas"
"Data Analyst","148238.5","Edward Jones","hadoop"
"Data Analyst","148238.5","Edward Jones","r"
"Data Analyst","148238.5","Edward Jones","nosql"
"Data Analyst","148238.5","Edward Jones","python"
"Data Analyst","148238.5","Edward Jones","sql"
"Data Analyst","148238.5","Edward Jones","microstrategy"
"Data Analyst","148238.5","Edward Jones","spss"
"Data Analyst","148238.5","Edward Jones","oracle"
"Data Analyst","148238.5","Edward Jones","db2"
"Data Analyst","148238.5","Edward Jones","vba"
"Data Analyst","148238.5","Edward Jones","excel"
"Data Analyst","147285.0","EXL Service","python"
"Data Analyst","147285.0","EXL Service","snowflake"
"Data Analyst","147285.0","EXL Service","t-sql"
"Data Analyst","147285.0","EXL Service","sql"
"Data Analyst","147285.0","EXL Service","ssis"
"Data Analyst","147285.0","EXL Service","sas"
"Data Analyst","147285.0","EXL Service","sas"
"Data Analyst","147285.0","EXL Service","excel"
"Data Analyst","147285.0","EXL Service","hadoop"
"Data Analyst","145000.0","Hire With Jarvis","power bi"
"Data Analyst","145000.0","Hire With Jarvis","tableau"
"Data Analyst","145000.0","Hire With Jarvis","excel"
"Data Analyst","145000.0","Hire With Jarvis","sql"
"Data Analyst","145000.0","CyberCoders","qlik"
"Data Analyst","145000.0","CyberCoders","power bi"
"Data Analyst","145000.0","CyberCoders","tableau"
"Data Analyst","145000.0","CyberCoders","c++"
"Data Analyst","145000.0","CyberCoders","javascript"
"Data Analyst","145000.0","CyberCoders","r"
"Data Analyst","145000.0","CyberCoders","java"
"Data Analyst","145000.0","CyberCoders","python"
"Data Analyst","145000.0","ALTA IT Services","sas"
"Data Analyst","145000.0","ALTA IT Services","power bi"
"Data Analyst","145000.0","ALTA IT Services","tableau"
"Data Analyst","145000.0","Level","kubernetes"
"Data Analyst","145000.0","Level","looker"
"Data Analyst","145000.0","ALTA IT Services","excel"
"Data Analyst","145000.0","ALTA IT Services","sas"
"Data Analyst","145000.0","ALTA IT Services","r"
"Data Analyst","145000.0","ALTA IT Services","python"
"Data Analyst","145000.0","ALTA IT Services","sql"
"Data Analyst","145000.0","Level","scikit-learn"
"Data Analyst","145000.0","Level","pandas"
"Data Analyst","145000.0","Level","gcp"
"Data Analyst","145000.0","Level","bigquery"
"Data Analyst","145000.0","Level","aws"
"Data Analyst","145000.0","Level","elasticsearch"
"Data Analyst","145000.0","Level","golang"
"Data Analyst","145000.0","Level","r"
"Data Analyst","145000.0","Level","python"
"Data Analyst","145000.0","Level","sql"
"Data Analyst","140500.0","Uber","r"
"Data Analyst","140500.0","Uber","swift"
"Data Analyst","140500.0","Uber","excel"
"Data Analyst","140500.0","Uber","tableau"
"Data Analyst","140500.0","Uber","looker"
"Data Analyst","140500.0","Uber","sql"
"Data Analyst","140500.0","Uber","python"
"Data Analyst","140500.0","Insight Global","python"
"Data Analyst","140500.0","Insight Global","sql"
"Data Analyst","140500.0","Insight Global","oracle"
"Data Analyst","140000.0","Insight Global","nosql"
"Data Analyst","140000.0","Sisense","python"
"Data Analyst","140000.0","IT Pros","qlik"
"Data Analyst","140000.0","IT Pros","power bi"
"Data Analyst","140000.0","IT Pros","bigquery"
"Data Analyst","140000.0","Sisense","sql"
"Data Analyst","140000.0","Sisense","r"
"Data Analyst","140000.0","Sisense","snowflake"
"Data Analyst","139000.0","Revolut","java"
"Data Analyst","139000.0","Revolut","python"
"Data Analyst","139000.0","Revolut","sql"
"Data Analyst","139000.0","Revolut","scala"
"Data Analyst","139000.0","Revolut","c++"
"Data Analyst","138640.0","United Services Automobile Association","tableau"
"Data Analyst","138640.0","United Services Automobile Association","phoenix"
"Data Analyst","138640.0","United Services Automobile Association","hadoop"
"Data Analyst","138640.0","United Services Automobile Association","javascript"
"Data Analyst","138640.0","United Services Automobile Association","snowflake"
"Data Analyst","138640.0","United Services Automobile Association","sql"
"Data Analyst","138640.0","United Services Automobile Association","nosql"
"Data Analyst","138500.0","Overmind","python"
"Data Analyst","138500.0","Overmind","sql"
"Data Analyst","138000.0","Get It Recruit - Information Technology","dax"
"Data Analyst","138000.0","Get It Recruit - Information Technology","azure"
"Data Analyst","138000.0","Get It Recruit - Information Technology","sql"
"Data Analyst","138000.0","Get It Recruit - Information Technology","nosql"
"Data Analyst","138000.0","Get It Recruit - Information Technology","sql server"
"Data Analyst","138000.0","Get It Recruit - Information Technology","power bi"
"Data Analyst","137500.0","Insight Global, Inc.","sharepoint"
"Data Analyst","137000.0","WhiteCrow","powerpoint"
"Data Analyst","137000.0","WhiteCrow","excel"
"Data Analyst","135000.0","EPIC Brokers","excel"
"Data Analyst","135000.0","Get It Recruit - Hospitality","python"
"Data Analyst","135000.0","InvestM Technology LLC","power bi"
"Data Analyst","135000.0","InvestM Technology LLC","excel"
"Data Analyst","135000.0","InvestM Technology LLC","sql"
"Data Analyst","135000.0","Robert Half","sql"
"Data Analyst","135000.0","Robert Half","python"
"Data Analyst","135000.0","Robert Half","go"
"Data Analyst","135000.0","Robert Half","c"
"Data Analyst","135000.0","Robert Half","sql server"
"Data Analyst","135000.0","Get It Recruit - Hospitality","sql"
"Data Analyst","135000.0","Get It Recruit - Hospitality","r"
"Data Analyst","135000.0","Get It Recruit - Hospitality","sas"
"Data Analyst","135000.0","Get It Recruit - Hospitality","sas"
"Data Analyst","132500.0","SoftDev Incorporated","python"
"Data Analyst","132500.0","SoftDev Incorporated","sheets"
